step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
1,CASH_IN,20834.21,C2188789,118299.66,97465.45,C3180906,33839.66,54673.87,0
1,CASH_IN,27208.66,C1548888,29242.09,2033.43,C7689582,436665.72,463874.38,0
1,PAYMENT,31787.18,C5200476,106518.84,74731.66,M6394323,178546.94,210334.12,0
1,PAYMENT,17246.68,C8434500,90765.38,73518.7,M1026245,166259.3,183505.98,0
1,PAYMENT,17621.43,C9014965,100659.8,83038.37,M4963933,342341.28,359962.71,0
1,DEBIT,31590.48,C2229110,103194.99,71604.51,C9897858,471802.58,503393.06,0
1,PAYMENT,14679.19,C8187926,103258.23,88579.04,M6303930,157797.91,172477.1,0
1,CASH_OUT,25774.03,C2355439,51105.41,25331.38,C2630140,376645.46,402419.49,0
1,TRANSFER,14312.68,C1790481,41634.34,27321.66,C1914794,399671.21,413983.89,0
1,DEBIT,44475.43,C4938791,78379.09,33903.66,C7718473,93408.61,137884.04,0
1,DEBIT,18373.67,C2151087,98488.48,80114.81,C8890439,363540.66,381914.33,0
1,PAYMENT,21536.05,C9546409,50912.69,29376.64,M5833542,51298.95,72835.0,0
1,CASH_OUT,33049.35,C4205394,93311.51,60262.16,C1941524,213058.04,246107.39,0
1,DEBIT,17583.83,C3342608,79068.98,61485.15,C5024269,217470.25,235054.08,0
1,PAYMENT,3761.31,C5896624,55069.91,51308.6,M4221313,374948.99,378710.3,0
1,TRANSFER,47639.94,C2737893,51119.84,3479.9,C9186400,33616.68,81256.62,0
1,CASH_OUT,18113.91,C6899644,78623.39,60509.48,C8755439,339531.03,357644.94,0
1,CASH_OUT,18606.95,C8350099,32376.46,13769.51,C1440466,183474.97,202081.92,0
1,CASH_OUT,32481.54,C4700025,35072.87,2591.33,C8096887,93024.02,125505.56,0
1,CASH_IN,19355.5,C7251976,45533.17,26177.67,C1959074,130144.89,149500.39,0
1,DEBIT,10736.38,C8186990,30754.21,20017.83,C7183841,67864.21,78600.59,0
1,PAYMENT,22607.61,C1771600,103658.93,81051.32,M4860617,483780.62,506388.23,0
1,CASH_OUT,33395.31,C9197443,87612.45,54217.14,C2919549,445665.84,479061.15,0
1,TRANSFER,35593.34,C8722606,86468.91,50875.57,C8132648,60681.23,96274.57,0
